severity,issue_type,key,details
INFO,BRICKOWL_BOID_NO_COLOR_OK,41145c02|53,BOID sem cor validado via catalog/lookup: 551141
INFO,BRICKOWL_BOID_NO_COLOR_OK,41148c01|53,BOID sem cor validado via catalog/lookup: 866905
INFO,BRICKOWL_BOID_NO_COLOR_OK,4182|183,BOID sem cor validado via catalog/lookup: 158665
INFO,BRICKOWL_BOID_NO_COLOR_OK,4198pb76|93,BOID sem cor validado via catalog/lookup: 1129663
INFO,BRICKOWL_BOID_NO_COLOR_OK,42023|179,BOID sem cor validado via catalog/lookup: 405572
INFO,BRICKOWL_BOID_NO_COLOR_OK,42042bo|185,BOID sem cor validado via catalog/lookup: 819483
INFO,BRICKOWL_BOID_NO_COLOR_OK,42042ca|185,BOID sem cor validado via catalog/lookup: 807366
INFO,BRICKOWL_BOID_NO_COLOR_OK,42042ja|185,BOID sem cor validado via catalog/lookup: 152663
INFO,BRICKOWL_BOID_NO_COLOR_OK,42042su|185,BOID sem cor validado via catalog/lookup: 52228
INFO,BRICKOWL_BOID_NO_COLOR_OK,42042vu|185,BOID sem cor validado via catalog/lookup: 886347
INFO,BRICKOWL_BOID_NO_COLOR_OK,42042xa|185,BOID sem cor validado via catalog/lookup: 765840
INFO,BRICKOWL_BOID_NO_COLOR_OK,42042yo|185,BOID sem cor validado via catalog/lookup: 237103
INFO,BRICKOWL_BOID_NO_COLOR_OK,42042za|185,BOID sem cor validado via catalog/lookup: 862870
INFO,BRICKOWL_BOID_NO_COLOR_OK,42332|75,BOID sem cor validado via catalog/lookup: 998451
INFO,BRICKOWL_BOID_NO_COLOR_OK,42334|75,BOID sem cor validado via catalog/lookup: 375936
INFO,BRICKOWL_BOID_NO_COLOR_OK,42337|75,BOID sem cor validado via catalog/lookup: 912285
INFO,BRICKOWL_BOID_NO_COLOR_OK,42450|38,BOID sem cor validado via catalog/lookup: 735093
WARN,BO_COLOR_ID_MISMATCH_FIXUP,43066|66,bo_color_id DB=122 difere do mapeamento BL->BO=0; a usar mapeamento.
INFO,BRICKOWL_BOID_NO_COLOR_OK,43066|0,BOID sem cor validado via catalog/lookup: 432223
WARN,BO_COLOR_ID_MISMATCH_FIXUP,43887|66,bo_color_id DB=122 difere do mapeamento BL->BO=0; a usar mapeamento.
INFO,BRICKOWL_BOID_NO_COLOR_OK,43887|0,BOID sem cor validado via catalog/lookup: 648628
INFO,BRICKOWL_BOID_NO_COLOR_OK,4440|48,BOID sem cor validado via catalog/lookup: 989328
INFO,BRICKOWL_BOID_NO_COLOR_OK,44514pb01|75,BOID sem cor validado via catalog/lookup: 206466
WARN,BO_COLOR_ID_MISMATCH_FIXUP,44536|66,bo_color_id DB=122 difere do mapeamento BL->BO=0; a usar mapeamento.
INFO,BRICKOWL_BOID_NO_COLOR_OK,44536|0,BOID sem cor validado via catalog/lookup: 147140
WARN,BO_COLOR_ID_MISMATCH_FIXUP,44594|66,bo_color_id DB=122 difere do mapeamento BL->BO=0; a usar mapeamento.
INFO,BRICKOWL_BOID_NO_COLOR_OK,44594|0,BOID sem cor validado via catalog/lookup: 280401
INFO,BRICKOWL_BOID_NO_COLOR_OK,44621|3,BOID sem cor validado via catalog/lookup: 549551
INFO,BRICKOWL_BOID_NO_COLOR_OK,44709|124,BOID sem cor validado via catalog/lookup: 283677
INFO,BRICKOWL_BOID_NO_COLOR_OK,4495a|64,BOID sem cor validado via catalog/lookup: 723846
