name,rb_color_id,bl_color_id,bo_color_id
Sand Purple,373,54,86
Sand Green,378,48,18
Sand Blue,379,55,85
Chrome Silver,383,22,115
Fabuland Brown,450,106,23
Medium Orange,462,31,7
Dark Orange,484,68,54
Very Light Gray,503,49,19
Glow in Dark White,1000,159,129
Medium Violet,1001,245,221
Glitter Trans-Neon Green,1002,163,167
Glitter Trans-Light Blue,1003,162,165
Trans-Flame Yellowish Orange,1004,164,171
Reddish Lilac,1007,227,223
Fabuland Orange,1012,160,60
Modulex White,1013,123,154
Modulex Light Bluish Gray,1014,124,28
Modulex Light Gray,1015,125,141
Modulex Charcoal Gray,1016,126,29
Modulex Tile Gray,1017,127,152
Modulex Black,1018,128,136
Modulex Tile Brown,1019,131,151
Modulex Terracotta,1020,134,150
Modulex Brown,1021,132,137
Modulex Buff,1022,133,138
Modulex Red,1023,129,148
Modulex Pink Red,1024,130,147
Modulex Orange,1025,135,30
Modulex Light Orange,1026,136,142
Modulex Light Yellow,1027,137,143
Modulex Ochre Yellow,1028,138,31
Modulex Lemon,1029,139,140
Modulex Pastel Green,1030,141,33
Modulex Olive Green,1031,140,32
Modulex Aqua Green,1032,142,135
Modulex Teal Blue,1033,146,149
Modulex Tile Blue,1034,143,34
Modulex Medium Blue,1035,144,144
Modulex Pastel Blue,1036,145,145
Modulex Violet,1037,147,153
Modulex Pink,1038,148,146
Modulex Clear,1039,149,139
Modulex Foil Dark Gray,1040,210,
Modulex Foil Light Gray,1041,211,
Modulex Foil Dark Green,1042,212,
Modulex Foil Light Green,1043,213,
Modulex Foil Dark Blue,1044,214,
Modulex Foil Light Blue,1045,215,
Modulex Foil Violet,1046,216,
Modulex Foil Red,1047,217,
Modulex Foil Yellow,1048,218,
Modulex Foil Orange,1049,219,
Coral,1050,220,173
Pastel Blue,1051,72,71
Glitter Trans-Orange,1052,222,179
Opal Trans-Light Blue,1053,223,175
Opal Trans-Dark Pink,1054,224,199
Opal Trans-Clear,1055,228,193
Opal Trans-Brown,1056,229,201
Trans-Light Bright Green,1057,226,205
Trans-Light Green,1058,221,191
Opal Trans-Purple,1059,230,203
Opal Trans-Bright Green,1060,233,207
Opal Trans-Dark Blue,1061,232,209
Vibrant Yellow,1062,236,211
Pearl Copper,1063,249,227
Reddish Gold,1065,235,215
Curry,1066,161,169
Dark Nougat,1067,225,160
Bright Reddish Orange,1068,231,158
Pearl Red,1069,252,181
Pearl Blue,1070,254,189
Pearl Green,1071,253,183
Pearl Brown,1072,255,219
Pearl Black,1073,244,185
Duplo Blue,1074,247,
Duplo Medium Blue,1075,,
Duplo Lime,1076,171,67
Fabuland Lime,1077,248,
Duplo Medium Green,1078,,
Duplo Light Green,1079,,
Rust Orange,1081,,83
Clikits Pink,1082,,
Two-tone Copper,1083,237,233
Two-tone Gold,1084,238,231
Two-tone Silver,1085,239,229
Medium Brown,1088,240,213
Warm Tan,1089,241,217
Duplo Turquoise,1090,,
Warm Yellowish Orange,1091,172,8
Metallic Copper,1092,250,225
Light Lilac,1093,246,16
Trans-Medium Purple,1094,234,107
Trans-Black,1095,251,235
Clikits Yellow,1100,,93
Pearl Titanium,1103,77,119
Reddish Orange,1136,167,241
Sienna Brown,1137,169,245
Umber Brown,1138,168,243
Opal Trans-Yellow,1139,170,247
Neon Orange,1140,165,
Neon Green,1141,166,
Dark Olive Green,1142,242,
Glitter Milky White,1143,,
Ochre Yellow,1145,173,255
Warm Pink,1146,175,
Blue Violet,1147,174,
[No Color/Any Color],9999,0,




