bl_part_id,weight,source
32000,0.73,ITEMID
32001,1.5,ITEMID
32002,0.11,ITEMID
32007,2.38,ITEMID
32009,3.46,ITEMID
41486,3.46,ALTITEMID
32013,0.46,ITEMID
42127,0.46,ALTITEMID
32014,0.66,ITEMID
42155,0.66,ALTITEMID
32015,0.69,ITEMID
41488,0.69,ALTITEMID
32016,0.67,ITEMID
42128,0.67,ALTITEMID
32017,0.58,ITEMID
32018,4.92,ITEMID
32028,0.44,ITEMID
32034,0.68,ITEMID
42134,0.68,ALTITEMID
32039,0.32,ITEMID
42135,0.32,ALTITEMID
32054,0.33,ITEMID
65304,0.33,ALTITEMID
32056,0.73,ITEMID
59605,0.73,ALTITEMID
32059,3.0,ITEMID
32062,0.26,ITEMID
32063,0.8,ITEMID
28570,0.8,ALTITEMID
32064,0.88,ITEMID
31493,0.88,ALTITEMID
32064b,0.88,ALTITEMID
32065,0.9,ITEMID
58486,0.9,ALTITEMID
32068,0.71,ITEMID
60558,0.71,ALTITEMID
32069,1.25,ITEMID
64920,1.25,ALTITEMID
32073,0.66,ITEMID
32109,14.67,ITEMID
32124,0.86,ITEMID
50029,0.86,ALTITEMID
32138,0.96,ITEMID
32137,2.33,ITEMID
32140,1.43,ITEMID
42137,1.43,ALTITEMID
32165,4.41,ITEMID
22951,4.41,ALTITEMID
32166,3.0,ITEMID
32177,2.7,ITEMID
3218,1.48,ITEMID
32185,2.8,ITEMID
32187,0.5,ITEMID
32188,6.25,ITEMID
22972,6.25,ALTITEMID
41347,6.25,ALTITEMID
32189,6.25,ITEMID
22973,6.25,ALTITEMID
41348,6.25,ALTITEMID
32190,3.2,ITEMID
22749,3.2,ALTITEMID
41349,3.2,ALTITEMID
32191,3.2,ITEMID
22750,3.2,ALTITEMID
41350,3.2,ALTITEMID
32198,0.75,ITEMID
32199,0.92,ITEMID
55709,0.92,ALTITEMID
32200,1.0,ITEMID
32201,1.19,ITEMID
32202,1.36,ITEMID
32235,1.5,ITEMID
3231,11.0,ITEMID
32310,3.5,ITEMID
32348,2.0,ITEMID
42165,2.0,ALTITEMID
3297,2.57,ITEMID
3016,2.57,ALTITEMID
3297p01,2.57,ITEMID
3297p02,2.57,ITEMID
3297p03,2.57,ITEMID
3298,1.33,ITEMID
30474,1.33,ALTITEMID
3298p10,1.33,ITEMID
3298p17,1.33,ITEMID
3298p18,1.33,ITEMID
3298p20,1.33,ITEMID
3298p21,1.33,ITEMID
3298p54,1.33,ITEMID
3298p55,1.33,ITEMID
3298p56,1.33,ITEMID
3298p68,1.33,ITEMID
3298p90,1.33,ITEMID
3299,1.1,ITEMID
33bc01,1.28,ITEMID
3300,0.54,ITEMID
33062,2.33,ITEMID
3307,2.87,ITEMID
3308,3.83,ITEMID
3315,1.64,ITEMID
3317,0.75,ITEMID
3324,2.29,ITEMID
3324c01,3.85,ITEMID
73404,3.85,ALTITEMID
33303,1.38,ITEMID
fabef1,7.1,ITEMID
4231,6.35,ITEMID
3334,37.27,ITEMID
3358,1.3,ITEMID
3359,0.95,ITEMID
3403,2.28,ITEMID
3404,2.28,ITEMID
3433,3.2,ITEMID
3436,2.72,ITEMID
3455,1.71,ITEMID
3456,11.0,ITEMID
3460,1.36,ITEMID
3461,2.0,ITEMID
3462,1.06,ITEMID
3464,0.25,ITEMID
3470,9.4,ITEMID
3471,6.7,ITEMID
52211,6.7,ALTITEMID
3474,2.6,ITEMID
3475,2.02,ITEMID
3479,1.19,ITEMID
3480,0.34,ITEMID
3481,1.12,ITEMID
3482,0.88,ITEMID
3483,1.69,ITEMID
3491,1.6,ITEMID
3497,19.95,ITEMID
35,3.0,ITEMID
3579,1.79,ITEMID
3581,0.83,ITEMID
3582,0.4,ITEMID
3585,6.45,ITEMID
3586,6.45,ITEMID
3587,2.0,ITEMID
3596,1.47,ITEMID
3596p01,1.47,ITEMID
3597,1.4,ITEMID
36,6.0,ITEMID
3612,0.47,ITEMID
6101,0.47,ALTITEMID
3613,0.43,ITEMID
30233,0.43,ALTITEMID
3622,1.24,ITEMID
3622f1,1.24,ALTITEMID
45505,1.24,ALTITEMID
3622p02,1.32,ITEMID
3623,0.53,ITEMID
3624,0.41,ITEMID
3626a,0.57,ITEMID
30011a,0.57,ALTITEMID
3626,0.54,ITEMID
3274,0.54,ALTITEMID
3626b,0.54,ALTITEMID
3626c,0.54,ALTITEMID
28621,0.54,ALTITEMID
30011,0.54,ALTITEMID
30011b,0.54,ALTITEMID
30011c,0.54,ALTITEMID
88475,0.54,ALTITEMID
3626p01,0.56,ITEMID
3626bp01,0.56,ALTITEMID
3626cp01,0.56,ALTITEMID
3626p02,0.54,ITEMID
3626bp02,0.54,ALTITEMID
3626p03,0.54,ITEMID
3626bp03,0.54,ALTITEMID
3626p04,0.54,ITEMID
3626bp04,0.54,ALTITEMID
3626p05,0.54,ITEMID
3626bp05,0.54,ALTITEMID
3626p63,0.54,ITEMID
3626bp63,0.54,ALTITEMID
3633,0.8,ITEMID
3634,11.11,ITEMID
3639,1.77,ITEMID
3640,2.12,ITEMID
3641,0.73,ITEMID
3644,3.35,ITEMID
3647,0.16,ITEMID
3648,1.17,ITEMID
24505,1.17,ALTITEMID
3649,3.76,ITEMID
34432,3.76,ALTITEMID
3650a,1.08,ITEMID
3651,0.48,ITEMID
3659,1.25,ITEMID
3660,1.25,ITEMID
3660p01,1.25,ITEMID
3665,0.69,ITEMID
3666,1.06,ITEMID
367,55.0,ITEMID
3673,0.16,ITEMID
3675,1.54,ITEMID
3676,1.13,ITEMID
3678a,1.75,ITEMID
45676,1.75,ALTITEMID
3679,0.3,ITEMID
3680,0.4,ITEMID
3684,2.83,ITEMID
3684ap22,2.83,ITEMID
3685,2.36,ITEMID
3688,1.32,ITEMID
3700,0.82,ITEMID
3701,1.46,ITEMID
3702,2.85,ITEMID
3703,5.87,ITEMID
3704,0.27,ITEMID
3705,0.59,ITEMID
3705b,0.45,ITEMID
3706,0.86,ITEMID
3707,1.18,ITEMID
33324,1.18,ALTITEMID
3708,1.82,ITEMID
32241,1.82,ALTITEMID
3709a,2.7,ITEMID
3709,1.15,ITEMID
3709b,1.15,ALTITEMID
3710,0.71,ITEMID
3711,0.09,ITEMID
14696,0.09,ALTITEMID
3713,0.14,ITEMID
6590,0.14,ALTITEMID
42798,0.14,ALTITEMID
3730,0.9,ITEMID
3729,0.69,ITEMID
3736,1.77,ITEMID
3737,1.49,ITEMID
3737b,1.4,ITEMID
3738,2.49,ITEMID
3739,10.64,ITEMID
374,40.0,ITEMID
3740,47.25,ITEMID
3741,0.2,ITEMID
3742,0.07,ITEMID
56750,0.07,ALTITEMID
3743,0.79,ITEMID
4296,0.79,ALTITEMID
3747a,1.65,ITEMID
3749,0.22,ITEMID
